education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
 Not Graduate, Yes,3300000,8900000,2,418, Rejected
 Graduate, No,7800000,21800000,8,517, Rejected
 Not Graduate, Yes,6200000,16200000,6,508, Rejected
 Not Graduate, Yes,7000000,26100000,18,689, Approved
 Graduate, No,9200000,28200000,12,455, Rejected
 Not Graduate, Yes,7500000,20800000,6,617, Approved
 Graduate, No,5300000,13200000,10,500, Rejected
 Not Graduate, Yes,6800000,22800000,14,382, Rejected
 Not Graduate, No,7900000,20800000,18,538, Rejected
 Not Graduate, Yes,6200000,14900000,8,855, Approved
 Graduate, No,1000000,3000000,18,614, Approved
 Graduate, Yes,7800000,25400000,10,513, Rejected
 Graduate, Yes,3000000,8800000,14,402, Rejected
 Graduate, Yes,5700000,15000000,20,819, Approved
 Not Graduate, No,6600000,25400000,12,622, Approved
 Graduate, Yes,7100000,18200000,4,790, Approved
 Graduate, Yes,1300000,4800000,14,808, Approved
 Not Graduate, No,5200000,16800000,18,369, Rejected
 Graduate, No,5600000,20300000,4,330, Approved
 Graduate, No,7100000,16500000,14,857, Approved
 Graduate, No,5100000,19100000,8,457, Rejected
 Not Graduate, Yes,7600000,29300000,8,843, Approved
 Graduate, Yes,2500000,5400000,6,463, Rejected
 Graduate, No,6900000,22800000,16,582, Approved
 Graduate, No,3100000,6500000,2,391, Rejected
 Graduate, Yes,9700000,35100000,20,612, Approved
 Not Graduate, Yes,5800000,12600000,2,859, Approved
 Not Graduate, No,7600000,18600000,18,779, Approved
 Not Graduate, No,700000,2800000,2,561, Approved
 Graduate, No,2300000,5600000,18,420, Rejected
 Not Graduate, No,1600000,3300000,8,609, Approved
 Not Graduate, No,8100000,19300000,14,821, Approved
 Graduate, No,7700000,17100000,14,603, Approved
 Graduate, No,1500000,3400000,10,778, Approved
 Not Graduate, No,7400000,23500000,2,460, Approved
 Not Graduate, Yes,8900000,27100000,18,363, Rejected
 Graduate, No,2400000,5300000,16,482, Rejected
 Graduate, No,5600000,20300000,4,772, Approved
 Graduate, No,5900000,14400000,6,745, Approved
 Graduate, No,1600000,3300000,2,513, Rejected
 Not Graduate, No,1100000,4000000,2,362, Approved
 Graduate, Yes,6600000,25600000,6,740, Approved
 Graduate, No,8900000,24400000,10,774, Approved
 Graduate, Yes,6400000,16400000,20,555, Approved
 Not Graduate, Yes,8200000,17300000,12,588, Approved
 Graduate, No,500000,1300000,14,619, Approved
 Graduate, No,9700000,31600000,18,607, Approved
 Not Graduate, Yes,7100000,16700000,4,435, Rejected
 Not Graduate, Yes,1400000,3400000,14,835, Approved
 Not Graduate, No,7200000,28100000,14,767, Approved
 Graduate, Yes,8400000,26200000,14,643, Approved
 Not Graduate, No,4300000,13900000,2,894, Approved
 Not Graduate, Yes,8800000,29800000,8,343, Rejected
 Not Graduate, No,4000000,15100000,8,800, Approved
 Not Graduate, Yes,6900000,17900000,18,494, Rejected
 Graduate, No,9600000,33000000,14,336, Rejected
 Not Graduate, No,6900000,16500000,16,785, Approved
 Not Graduate, Yes,3600000,13400000,16,732, Approved
 Not Graduate, No,1900000,4600000,12,587, Approved
 Not Graduate, Yes,9700000,30800000,18,471, Rejected
 Not Graduate, No,1200000,4100000,8,497, Rejected
 Not Graduate, No,400000,1600000,16,784, Approved
 Graduate, No,6600000,21500000,18,471, Rejected
 Graduate, No,1500000,3300000,4,763, Approved
 Not Graduate, No,3500000,9500000,2,655, Approved
 Not Graduate, Yes,4000000,8600000,4,667, Approved
 Not Graduate, No,4100000,14100000,8,367, Rejected
 Graduate, No,5800000,18500000,16,436, Rejected
 Graduate, Yes,8600000,23300000,12,785, Approved
 Graduate, No,4500000,11400000,10,388, Rejected
 Graduate, Yes,9900000,37300000,8,385, Rejected
 Not Graduate, Yes,3200000,8100000,10,670, Approved
 Graduate, Yes,8900000,19100000,20,329, Rejected
 Not Graduate, Yes,2100000,4900000,12,651, Approved
 Graduate, No,7100000,26000000,16,727, Approved
 Graduate, Yes,7800000,28900000,14,646, Approved
 Not Graduate, Yes,8600000,23200000,12,894, Approved
 Graduate, Yes,5100000,17000000,10,477, Rejected
 Not Graduate, No,600000,2000000,20,811, Approved
 Graduate, Yes,6600000,21200000,18,377, Rejected
 Not Graduate, Yes,4700000,17000000,18,802, Approved
 Graduate, Yes,7700000,19700000,14,885, Approved
 Graduate, Yes,6400000,21900000,6,437, Rejected
 Graduate, No,1100000,2500000,20,615, Approved
 Not Graduate, No,8900000,17800000,20,603, Approved
 Not Graduate, Yes,2100000,8300000,20,765, Approved
 Not Graduate, Yes,2300000,5800000,8,469, Rejected
 Graduate, No,8300000,17700000,16,848, Approved
 Graduate, No,900000,2700000,20,327, Rejected
 Not Graduate, Yes,9200000,35000000,4,716, Approved
 Graduate, No,9800000,28300000,2,715, Approved
 Not Graduate, No,200000,600000,12,683, Approved
 Not Graduate, Yes,3200000,9700000,6,737, Approved
 Not Graduate, No,7800000,27000000,6,728, Approved
 Graduate, No,8300000,30000000,18,350, Rejected
 Graduate, Yes,2100000,5200000,14,802, Approved
 Not Graduate, Yes,400000,1400000,4,483, Approved
 Graduate, Yes,7700000,21800000,18,684, Approved
 Graduate, Yes,5600000,16500000,20,692, Approved
 Graduate, No,8400000,31000000,4,783, Approved
 Graduate, Yes,1300000,4300000,18,412, Rejected
 Not Graduate, No,8700000,30200000,10,447, Rejected
 Not Graduate, No,2700000,8400000,14,610, Approved
 Graduate, Yes,800000,1800000,8,881, Approved
 Graduate, Yes,3800000,10300000,16,606, Approved
 Graduate, Yes,700000,2600000,2,869, Approved
 Graduate, Yes,400000,1400000,2,496, Approved
 Graduate, Yes,3200000,9300000,6,483, Rejected
 Graduate, No,7500000,22200000,8,741, Approved
 Not Graduate, No,3700000,13500000,4,820, Approved
 Graduate, No,3300000,9100000,18,697, Approved
 Graduate, Yes,200000,500000,20,713, Approved
 Not Graduate, No,7100000,17000000,6,754, Approved
 Not Graduate, Yes,1500000,5100000,14,837, Approved
 Not Graduate, No,3000000,6500000,2,691, Approved
 Graduate, Yes,1900000,5300000,12,436, Rejected
 Not Graduate, No,9100000,30100000,8,322, Rejected
 Not Graduate, No,2200000,7500000,2,333, Approved
 Not Graduate, Yes,8400000,23000000,14,455, Rejected
 Graduate, Yes,400000,700000,10,787, Approved
 Graduate, Yes,5600000,15800000,16,748, Approved
 Not Graduate, Yes,8200000,27100000,4,643, Approved
 Not Graduate, Yes,1600000,3400000,8,867, Approved
 Not Graduate, No,1800000,5600000,20,860, Approved
 Not Graduate, Yes,6500000,23900000,2,507, Approved
 Graduate, Yes,3100000,11500000,4,871, Approved
 Not Graduate, No,3100000,9800000,12,820, Approved
 Graduate, Yes,5300000,14500000,4,352, Rejected
 Graduate, No,1100000,4000000,14,887, Approved
 Graduate, Yes,6000000,13400000,12,731, Approved
 Graduate, Yes,6100000,14600000,18,645, Approved
 Not Graduate, No,4100000,14100000,10,300, Rejected
 Graduate, Yes,7000000,26200000,12,896, Approved
 Not Graduate, Yes,8900000,27700000,6,372, Rejected
 Graduate, No,4800000,12000000,6,441, Rejected
 Graduate, Yes,7400000,18300000,4,348, Rejected
 Graduate, No,9700000,27500000,18,343, Rejected
 Graduate, Yes,9700000,22600000,16,346, Rejected
 Not Graduate, Yes,4500000,11500000,14,509, Rejected
 Graduate, No,8800000,29300000,10,560, Approved
 Graduate, Yes,3000000,7500000,6,881, Approved
 Graduate, No,1300000,3000000,20,540, Rejected
 Graduate, No,5000000,12700000,14,865, Approved
 Graduate, Yes,1000000,2300000,12,317, Rejected
 Not Graduate, Yes,3300000,11300000,20,559, Approved
 Not Graduate, No,6500000,23900000,18,457, Rejected
 Not Graduate, No,4100000,12800000,8,780, Approved
 Graduate, No,9200000,29700000,10,607, Approved
 Graduate, No,9600000,29900000,12,778, Approved
 Not Graduate, Yes,4100000,12200000,8,417, Rejected
 Graduate, No,9100000,29700000,20,506, Rejected
 Graduate, No,8200000,30700000,8,467, Rejected
 Not Graduate, Yes,9800000,24200000,20,382, Rejected
 Graduate, Yes,4800000,13500000,10,319, Rejected
 Graduate, No,8700000,33000000,4,678, Approved
 Graduate, Yes,5700000,15000000,20,382, Rejected
 Graduate, Yes,800000,2200000,20,782, Approved
 Not Graduate, No,1100000,4300000,10,388, Rejected
 Graduate, Yes,2900000,11200000,2,547, Approved
 Not Graduate, Yes,6700000,22700000,18,538, Rejected
 Not Graduate, Yes,5000000,11600000,16,311, Rejected
 Graduate, Yes,9100000,31500000,14,679, Approved
 Not Graduate, No,1900000,7400000,6,469, Rejected
 Not Graduate, No,4700000,10700000,10,794, Approved
 Graduate, Yes,500000,1600000,4,663, Approved
 Not Graduate, Yes,2900000,9400000,14,780, Approved
 Graduate, No,2700000,10300000,10,736, Approved
 Graduate, No,6300000,14600000,12,652, Approved
 Graduate, No,5000000,19400000,12,315, Rejected
 Graduate, No,5800000,14000000,16,530, Rejected
 Graduate, Yes,6500000,25700000,18,311, Rejected
 Not Graduate, Yes,500000,1400000,2,551, Approved
 Not Graduate, No,4900000,9800000,16,324, Rejected
 Not Graduate, No,3100000,9500000,20,514, Rejected
 Graduate, No,8200000,28100000,12,696, Approved
 Not Graduate, Yes,2400000,5600000,4,662, Approved
 Not Graduate, Yes,7000000,24000000,6,336, Rejected
 Not Graduate, Yes,9000000,31500000,10,850, Approved
 Not Graduate, No,9800000,25300000,12,313, Rejected
 Graduate, No,5700000,12000000,6,363, Rejected
 Not Graduate, Yes,800000,1600000,10,436, Rejected
 Not Graduate, Yes,8400000,22000000,2,830, Approved
 Graduate, No,4900000,11900000,8,612, Approved
 Graduate, Yes,1700000,3400000,8,691, Approved
 Not Graduate, No,1600000,6200000,18,636, Approved
 Graduate, Yes,8000000,27200000,6,348, Rejected
 Graduate, No,3600000,7700000,16,830, Approved
 Not Graduate, Yes,1500000,5100000,6,352, Rejected
 Graduate, No,7800000,18100000,2,712, Approved
 Not Graduate, No,9100000,24900000,16,822, Approved
 Graduate, No,1400000,3400000,6,540, Rejected
 Graduate, Yes,800000,2300000,12,342, Rejected
 Graduate, No,6500000,13400000,18,787, Approved
 Graduate, No,8000000,27800000,16,331, Rejected
 Not Graduate, Yes,4200000,14600000,6,679, Approved
 Graduate, Yes,4900000,19100000,14,677, Approved
 Not Graduate, No,5500000,20500000,12,634, Approved
 Not Graduate, Yes,9500000,19100000,16,662, Approved
 Graduate, No,7300000,25400000,16,502, Rejected
 Graduate, No,8700000,24700000,10,435, Rejected
 Not Graduate, No,3800000,7600000,4,689, Approved
 Not Graduate, Yes,8400000,23000000,12,657, Approved
 Graduate, Yes,5100000,19700000,20,590, Approved
 Not Graduate, No,6700000,24500000,12,818, Approved
 Not Graduate, No,4300000,10600000,18,431, Rejected
 Graduate, Yes,9300000,30500000,18,841, Approved
 Graduate, No,7400000,18400000,20,421, Rejected
 Not Graduate, Yes,5500000,18200000,16,797, Approved
 Not Graduate, No,8500000,18900000,18,478, Rejected
 Not Graduate, Yes,9600000,30500000,18,669, Approved
 Not Graduate, Yes,8800000,28900000,6,365, Rejected
 Not Graduate, Yes,3300000,7500000,20,586, Approved
 Graduate, Yes,3900000,12300000,18,784, Approved
 Graduate, No,4100000,10300000,12,364, Rejected
 Not Graduate, No,8300000,29100000,10,715, Approved
 Not Graduate, Yes,2700000,10100000,20,693, Rejected
 Graduate, No,5600000,12400000,4,777, Approved
 Graduate, No,1900000,5000000,12,312, Rejected
 Not Graduate, Yes,500000,1500000,20,340, Rejected
 Graduate, Yes,5300000,18600000,4,386, Approved
 Not Graduate, No,7000000,18300000,4,418, Rejected
 Not Graduate, Yes,5800000,16700000,16,735, Approved
 Not Graduate, No,2600000,8400000,6,494, Rejected
 Not Graduate, No,1900000,6500000,18,671, Approved
 Graduate, No,5700000,14800000,16,697, Approved
 Graduate, No,9000000,33500000,8,801, Approved
 Not Graduate, No,8500000,29400000,12,576, Approved
 Not Graduate, No,700000,1400000,14,639, Approved
 Graduate, No,3500000,8900000,4,470, Rejected
 Not Graduate, No,8800000,31200000,4,826, Approved
 Not Graduate, Yes,9900000,21200000,16,363, Rejected
 Graduate, No,3600000,8600000,20,613, Approved
 Not Graduate, Yes,3000000,8200000,16,713, Approved
 Graduate, No,6800000,21200000,16,439, Rejected
 Not Graduate, Yes,1100000,3800000,18,387, Rejected
 Not Graduate, Yes,8700000,28300000,8,402, Rejected
 Graduate, Yes,2000000,8000000,6,837, Approved
 Not Graduate, No,9800000,37600000,10,641, Approved
 Graduate, No,5700000,21100000,18,489, Rejected
 Graduate, No,8800000,20700000,18,540, Rejected
 Graduate, No,3800000,8900000,4,844, Approved
 Graduate, No,1700000,6400000,10,452, Rejected
 Graduate, No,1000000,2000000,10,366, Rejected
 Graduate, No,300000,1100000,2,300, Approved
 Graduate, Yes,6600000,15000000,18,470, Rejected
 Not Graduate, No,8700000,25000000,20,861, Approved
 Graduate, No,9400000,29400000,12,562, Approved
 Graduate, No,4400000,10800000,14,463, Rejected
 Not Graduate, No,400000,900000,12,478, Rejected
 Not Graduate, Yes,300000,1100000,2,702, Approved
 Not Graduate, Yes,4300000,12900000,20,618, Approved
 Graduate, No,1600000,4500000,12,633, Approved
 Not Graduate, Yes,6200000,23600000,10,331, Rejected
 Not Graduate, Yes,4200000,9700000,16,841, Approved
 Not Graduate, Yes,9000000,18100000,12,764, Approved
 Graduate, No,2700000,10600000,6,591, Approved
 Graduate, Yes,9700000,35900000,2,719, Approved
 Graduate, No,3300000,6800000,14,317, Rejected
 Not Graduate, No,300000,1100000,8,778, Approved
 Graduate, Yes,7400000,18200000,14,302, Rejected
 Not Graduate, No,7100000,19700000,8,502, Rejected
 Not Graduate, Yes,7300000,22100000,18,879, Approved
 Not Graduate, No,8400000,23400000,14,437, Rejected
 Not Graduate, Yes,3300000,10800000,12,797, Approved
 Not Graduate, Yes,5800000,23200000,18,456, Rejected
 Not Graduate, No,600000,1600000,6,647, Approved
 Not Graduate, No,7200000,15800000,12,379, Rejected
 Not Graduate, Yes,9100000,32900000,2,717, Approved
 Graduate, No,900000,2300000,16,545, Rejected
 Graduate, No,800000,3200000,8,317, Rejected
 Not Graduate, No,8500000,32900000,10,570, Approved
 Not Graduate, Yes,9000000,18700000,18,865, Approved
 Graduate, No,7000000,19500000,14,719, Approved
 Graduate, No,200000,600000,16,821, Approved
 Not Graduate, Yes,400000,800000,10,859, Approved
 Not Graduate, No,5100000,18200000,10,395, Rejected
 Not Graduate, Yes,700000,2600000,12,429, Rejected
 Graduate, No,400000,1200000,12,861, Approved
 Not Graduate, Yes,9500000,20800000,14,565, Approved
 Graduate, No,8800000,22600000,10,357, Rejected
 Not Graduate, Yes,1800000,3600000,18,465, Rejected
 Not Graduate, Yes,6800000,13900000,8,479, Rejected
 Not Graduate, No,1500000,5500000,16,717, Approved
 Graduate, No,1600000,5500000,12,425, Rejected
 Not Graduate, No,4600000,16700000,2,786, Approved
 Not Graduate, Yes,2200000,6700000,6,382, Rejected
 Not Graduate, Yes,2900000,8500000,12,564, Approved
 Graduate, No,200000,700000,8,501, Rejected
 Not Graduate, Yes,2500000,9400000,10,727, Approved
 Not Graduate, No,3600000,7500000,6,894, Approved
 Graduate, Yes,5500000,16700000,18,829, Approved
 Not Graduate, No,6600000,17400000,20,506, Rejected
 Graduate, Yes,8600000,32100000,6,802, Approved
 Not Graduate, No,600000,1500000,14,543, Rejected
 Graduate, Yes,1400000,3200000,20,772, Approved
 Graduate, No,4000000,11100000,12,572, Approved
 Not Graduate, Yes,4900000,11900000,16,709, Approved
 Graduate, No,2000000,6200000,18,402, Rejected
 Not Graduate, Yes,5200000,19300000,8,481, Rejected
 Graduate, Yes,8900000,28800000,6,772, Approved
 Graduate, Yes,6500000,20600000,2,306, Approved
 Not Graduate, No,1300000,4500000,6,415, Rejected
 Not Graduate, No,9400000,35000000,16,548, Rejected
 Not Graduate, No,5000000,11200000,8,701, Approved
 Graduate, No,3000000,7700000,12,890, Approved
 Not Graduate, Yes,9900000,33300000,6,364, Rejected
 Graduate, Yes,700000,1300000,20,704, Approved
 Graduate, Yes,4000000,10600000,10,318, Rejected
 Not Graduate, No,3100000,9600000,2,761, Approved
 Not Graduate, No,4500000,15100000,6,693, Approved
 Not Graduate, No,9700000,20600000,16,524, Rejected
 Not Graduate, Yes,2000000,5300000,10,681, Approved
 Graduate, Yes,8100000,22300000,18,737, Approved
 Not Graduate, No,5700000,15900000,16,638, Approved
 Not Graduate, No,5800000,12800000,2,656, Approved
 Graduate, No,1800000,6500000,6,540, Rejected
 Not Graduate, Yes,9100000,35200000,6,341, Rejected
 Not Graduate, Yes,4800000,17500000,2,371, Approved
 Not Graduate, Yes,3800000,10500000,12,886, Approved
 Not Graduate, No,1900000,4100000,18,801, Approved
 Not Graduate, Yes,3600000,9500000,16,748, Approved
 Not Graduate, Yes,7400000,28200000,8,376, Rejected
 Not Graduate, Yes,6600000,14300000,8,371, Rejected
 Graduate, No,1800000,5300000,6,826, Approved
 Not Graduate, No,9200000,27200000,12,873, Approved
 Not Graduate, Yes,2400000,8600000,8,309, Rejected
 Not Graduate, No,5600000,13300000,20,869, Approved
 Graduate, No,3800000,13900000,12,534, Rejected
 Not Graduate, Yes,4500000,17900000,6,787, Approved
 Graduate, Yes,900000,2200000,16,566, Approved
 Not Graduate, No,2800000,9900000,8,742, Approved
 Not Graduate, No,7500000,23100000,4,824, Approved
 Graduate, No,1400000,3100000,14,575, Approved
 Graduate, Yes,3800000,10900000,10,766, Approved
 Not Graduate, Yes,1700000,5000000,10,888, Approved
 Graduate, Yes,9000000,30400000,6,638, Approved
 Not Graduate, Yes,7300000,23300000,6,622, Approved
 Not Graduate, No,7400000,19800000,18,458, Rejected
 Not Graduate, No,9000000,28200000,16,327, Rejected
 Not Graduate, No,3000000,6500000,2,612, Approved
 Graduate, No,800000,2900000,8,682, Approved
 Graduate, No,4800000,13200000,2,583, Approved
 Not Graduate, No,6400000,18300000,8,697, Approved
 Graduate, No,9200000,27100000,12,306, Rejected
 Not Graduate, Yes,400000,1500000,2,669, Approved
 Not Graduate, No,2800000,6000000,18,816, Approved
 Not Graduate, Yes,8500000,28900000,20,455, Rejected
 Graduate, Yes,4700000,16400000,10,318, Rejected
 Not Graduate, Yes,9800000,21200000,20,355, Rejected
 Not Graduate, Yes,3800000,8900000,16,389, Rejected
 Graduate, No,500000,1500000,2,888, Approved
 Graduate, Yes,6900000,15600000,6,352, Rejected
 Not Graduate, Yes,9600000,30100000,12,870, Approved
 Not Graduate, No,2900000,6500000,18,827, Approved
 Graduate, No,9800000,20900000,12,768, Approved
 Graduate, No,7100000,15400000,18,707, Approved
 Not Graduate, Yes,7700000,19100000,10,355, Rejected
 Graduate, No,1400000,3300000,2,652, Approved
 Graduate, No,7800000,15900000,2,665, Approved
 Not Graduate, Yes,1700000,6000000,18,420, Rejected
 Not Graduate, No,8500000,32700000,18,471, Rejected
 Not Graduate, No,1900000,7500000,20,715, Approved
 Not Graduate, Yes,6700000,15200000,10,689, Approved
 Graduate, Yes,6900000,16400000,4,787, Approved
 Graduate, No,2600000,7800000,4,819, Approved
 Graduate, Yes,9600000,21100000,6,809, Approved
 Not Graduate, Yes,6800000,17000000,2,744, Approved
 Not Graduate, No,3200000,11300000,6,484, Rejected
 Not Graduate, No,2900000,10400000,6,673, Approved
 Graduate, Yes,7900000,21200000,18,695, Approved
 Not Graduate, Yes,3900000,12400000,12,473, Rejected
 Graduate, Yes,4600000,11000000,2,491, Rejected
 Not Graduate, Yes,700000,1700000,8,733, Approved
 Not Graduate, No,5200000,15600000,20,434, Rejected
 Not Graduate, Yes,5900000,20600000,10,777, Approved
 Graduate, No,7200000,19100000,4,774, Approved
 Not Graduate, Yes,8700000,27000000,10,717, Approved
 Not Graduate, Yes,1100000,3500000,12,503, Rejected
 Graduate, Yes,4000000,10900000,14,598, Approved
 Graduate, No,9800000,32400000,2,543, Approved
 Not Graduate, Yes,2700000,6800000,20,796, Approved
 Not Graduate, Yes,8800000,34600000,8,386, Rejected
 Not Graduate, Yes,3300000,7800000,16,632, Approved
 Graduate, Yes,6900000,23400000,4,481, Approved
 Graduate, Yes,900000,3500000,4,770, Rejected
 Graduate, Yes,4100000,15500000,6,667, Approved
 Not Graduate, Yes,4700000,17500000,8,585, Approved
 Graduate, Yes,3400000,11600000,16,479, Rejected
 Graduate, No,9600000,22500000,18,851, Approved
 Not Graduate, Yes,7000000,16200000,6,378, Rejected
 Graduate, No,5700000,12900000,18,807, Approved
 Not Graduate, Yes,8200000,32400000,18,831, Approved
 Not Graduate, No,2100000,5100000,12,674, Approved
 Not Graduate, Yes,8000000,28100000,18,725, Approved
 Not Graduate, No,8000000,29300000,4,600, Approved
 Not Graduate, Yes,9400000,27000000,10,536, Rejected
 Graduate, No,8400000,20600000,10,477, Rejected
 Not Graduate, Yes,1900000,5000000,6,560, Approved
 Not Graduate, Yes,4200000,16400000,20,539, Rejected
 Graduate, No,2600000,9100000,8,852, Approved
 Not Graduate, No,3700000,8500000,20,853, Approved
 Graduate, No,8800000,30900000,12,729, Approved
 Not Graduate, No,2100000,4700000,2,546, Rejected
 Graduate, Yes,900000,2400000,10,489, Rejected
 Graduate, Yes,9800000,35400000,6,869, Approved
 Not Graduate, No,8000000,20000000,2,502, Rejected
 Graduate, No,9800000,38800000,8,652, Approved
 Not Graduate, Yes,300000,1100000,8,789, Approved
 Not Graduate, No,2700000,8100000,4,325, Approved
 Graduate, Yes,7400000,19600000,2,716, Approved
 Graduate, No,9200000,34300000,18,523, Rejected
 Not Graduate, No,9500000,22200000,20,352, Rejected
 Graduate, Yes,3800000,14400000,2,345, Approved
 Graduate, No,8300000,19400000,18,649, Approved
 Graduate, Yes,2800000,7400000,18,666, Approved
 Graduate, No,8600000,20900000,10,813, Approved
 Not Graduate, No,5400000,16800000,10,599, Approved
 Graduate, Yes,4200000,9400000,6,678, Approved
 Not Graduate, No,5200000,12200000,20,513, Rejected
 Graduate, No,9400000,27900000,4,870, Approved
 Graduate, No,8800000,20400000,8,483, Rejected
 Graduate, Yes,5900000,16700000,16,308, Rejected
 Graduate, Yes,1700000,4900000,16,591, Approved
 Not Graduate, No,7000000,23000000,10,886, Approved
 Not Graduate, No,1700000,4000000,6,829, Approved
 Not Graduate, No,1500000,4900000,12,651, Approved
 Not Graduate, No,2000000,4700000,18,733, Approved
 Graduate, Yes,3900000,15500000,12,433, Rejected
 Graduate, Yes,900000,3600000,14,713, Approved
 Graduate, No,6900000,22500000,18,403, Rejected
 Graduate, Yes,2800000,7800000,10,405, Rejected
 Graduate, Yes,6800000,19900000,10,516, Rejected
 Not Graduate, Yes,600000,1800000,8,417, Rejected
 Not Graduate, No,4700000,14000000,6,468, Rejected
 Graduate, Yes,3000000,11800000,10,672, Approved
 Not Graduate, No,4000000,13900000,6,530, Rejected
 Not Graduate, Yes,3100000,11300000,14,824, Approved
 Not Graduate, Yes,7700000,25500000,12,549, Rejected
 Not Graduate, Yes,4300000,9300000,10,450, Rejected
 Graduate, Yes,5800000,19500000,20,431, Rejected
 Graduate, Yes,3600000,10700000,16,312, Rejected
 Not Graduate, Yes,2900000,7600000,8,320, Rejected
 Graduate, No,8800000,20200000,4,433, Rejected
 Not Graduate, Yes,300000,1000000,10,431, Rejected
 Not Graduate, Yes,8600000,28900000,8,516, Rejected
 Not Graduate, Yes,3500000,12000000,14,476, Rejected
 Graduate, No,800000,2600000,6,560, Approved
 Graduate, No,8000000,27100000,12,674, Approved
 Not Graduate, Yes,9900000,38200000,6,573, Approved
 Not Graduate, No,3300000,6600000,6,331, Rejected
 Graduate, Yes,2000000,6700000,12,633, Approved
 Not Graduate, No,4900000,12900000,18,877, Approved
 Not Graduate, Yes,9200000,23600000,12,656, Approved
 Not Graduate, No,7500000,18200000,6,782, Approved
 Not Graduate, No,9000000,29300000,4,531, Approved
 Not Graduate, No,1400000,4100000,8,455, Rejected
 Graduate, No,9600000,19900000,14,452, Rejected
 Graduate, No,8400000,33200000,14,474, Rejected
 Not Graduate, No,6400000,24400000,4,483, Approved
 Graduate, No,5900000,16800000,8,481, Rejected
 Graduate, Yes,2200000,5100000,20,859, Approved
 Graduate, Yes,5600000,14100000,14,696, Approved
 Not Graduate, No,9800000,28700000,6,778, Approved
 Graduate, No,4400000,14600000,4,499, Approved
 Not Graduate, Yes,2400000,4900000,4,888, Approved
 Graduate, No,4400000,10800000,12,674, Approved
 Graduate, No,3700000,13200000,4,802, Approved
 Not Graduate, Yes,2300000,7800000,8,540, Rejected
 Graduate, Yes,5900000,19600000,8,726, Approved
 Not Graduate, Yes,6400000,23500000,2,485, Approved
 Graduate, Yes,4900000,17100000,6,612, Approved
 Not Graduate, Yes,9500000,24200000,8,879, Approved
 Not Graduate, No,5700000,16400000,12,708, Approved
 Not Graduate, Yes,2700000,5700000,8,850, Approved
 Not Graduate, Yes,3900000,11300000,12,516, Rejected
 Not Graduate, No,7800000,28800000,12,465, Rejected
 Graduate, No,1100000,3200000,20,716, Approved
 Not Graduate, No,200000,600000,10,404, Rejected
 Not Graduate, Yes,4700000,10600000,20,512, Rejected
 Not Graduate, Yes,8200000,20600000,10,441, Rejected
 Not Graduate, Yes,4600000,18400000,2,555, Approved
 Not Graduate, No,1800000,7000000,18,466, Rejected
 Graduate, Yes,3200000,8600000,2,427, Rejected
 Not Graduate, Yes,5500000,20000000,14,593, Approved
 Graduate, No,7900000,18300000,10,731, Approved
 Graduate, Yes,4000000,10100000,16,451, Rejected
 Not Graduate, Yes,6800000,16900000,18,628, Approved
 Not Graduate, No,2700000,9400000,18,704, Approved
 Not Graduate, No,6800000,23500000,12,341, Rejected
 Graduate, No,8600000,21000000,8,465, Rejected
 Graduate, No,8000000,30100000,4,431, Approved
 Graduate, Yes,3700000,12600000,10,424, Rejected
 Graduate, No,2600000,5100000,14,678, Approved
 Graduate, No,4200000,16800000,6,381, Rejected
 Graduate, Yes,8000000,28000000,10,449, Rejected
 Not Graduate, No,7100000,23500000,12,768, Approved
 Not Graduate, No,2000000,7000000,6,666, Rejected
 Not Graduate, Yes,5800000,13300000,14,742, Approved
 Not Graduate, Yes,6700000,15800000,4,445, Rejected
 Graduate, No,7300000,28700000,14,634, Approved
 Not Graduate, No,3300000,9700000,14,782, Approved
 Graduate, No,3000000,7000000,10,781, Approved
 Not Graduate, No,7900000,17200000,14,318, Rejected
 Not Graduate, No,7600000,24100000,18,721, Approved
 Not Graduate, No,3700000,9800000,4,563, Approved
 Not Graduate, No,8400000,26300000,4,419, Approved
 Graduate, Yes,8200000,20800000,14,372, Rejected
 Not Graduate, No,2900000,9500000,18,885, Approved
 Not Graduate, Yes,9900000,38400000,12,596, Approved
 Graduate, No,4400000,14100000,2,349, Approved
 Not Graduate, Yes,9000000,32200000,16,468, Rejected
 Not Graduate, Yes,6800000,26900000,16,818, Approved
 Not Graduate, No,8700000,28000000,12,543, Rejected
 Graduate, No,9400000,21900000,16,685, Approved
 Not Graduate, Yes,6000000,12500000,18,851, Approved
 Not Graduate, Yes,9400000,29800000,10,377, Rejected
 Not Graduate, Yes,1000000,4000000,10,620, Approved
 Graduate, Yes,900000,2300000,20,611, Approved
 Not Graduate, No,2100000,7700000,4,767, Approved
 Graduate, Yes,1100000,3200000,20,592, Approved
 Graduate, Yes,600000,2300000,4,319, Approved
 Not Graduate, Yes,9200000,25500000,10,900, Approved
 Not Graduate, Yes,3600000,12800000,18,814, Approved
 Not Graduate, Yes,1300000,5000000,10,755, Approved
 Graduate, Yes,7700000,16800000,20,584, Approved
 Graduate, Yes,9500000,23500000,14,380, Rejected
 Not Graduate, Yes,5000000,17600000,20,465, Rejected
 Not Graduate, No,500000,1800000,2,531, Approved
 Graduate, Yes,8300000,32100000,16,814, Approved
 Graduate, No,5300000,17900000,6,678, Approved
